quarter,as_on_date,symbol,company,sector,universe,fii_pct,dii_pct,source,updated_at
2025Q4,31-DEC-2025,NTPC,NTPC Limited,Power,Nifty 50,16.24,29.19,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1600995_14012026055347_WEB.xml,2026-05-22T17:01:10+00:00
2025Q4,31-DEC-2025,NYKAA,FSN E-Commerce Ventures Limited,Consumer Services,Midcap,12.14,25.35,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1606240_20012026071553_WEB.xml,2026-06-04T17:26:52+00:00
2025Q4,31-DEC-2025,OBEROIRLTY,Oberoi Realty Limited,Realty,Midcap,16.58,13.46,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1606974_21012026033450_WEB.xml,2026-06-04T17:26:58+00:00
2025Q4,31-DEC-2025,OFSS,Oracle Financial Services Software Limited,IT,Midcap,8.36,8.82,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1599904_13012026044942_WEB.xml,2026-06-04T17:27:03+00:00
2025Q4,31-DEC-2025,ONGC,Oil & Natural Gas Corporation Limited,Oil & Gas,Nifty 50,7.42,19.69,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1606373_20012026082812_WEB.xml,2026-05-22T17:01:18+00:00
2025Q4,31-DEC-2025,PAGEIND,Page Industries Limited,Textiles,Midcap,20.72,31.49,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1600894_14012026051205_WEB.xml,2026-06-04T17:27:09+00:00
2025Q4,31-DEC-2025,PATANJALI,Patanjali Foods Limited,FMCG,Midcap,10.82,13.04,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1603800_19012026121902_WEB.xml,2026-06-04T17:27:14+00:00
2025Q4,31-DEC-2025,PAYTM,One 97 Communications Limited,Financial Services,Midcap,51.76,20.32,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1598873_12012026050423_WEB.xml,2026-06-04T17:27:20+00:00
2025Q4,31-DEC-2025,PERSISTENT,Persistent Systems Limited,IT,Midcap,22.8,29.82,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1629489_24022026044924_WEB.xml,2026-06-04T17:27:31+00:00
2025Q4,31-DEC-2025,PETRONET,Petronet LNG Limited,Oil & Gas,Midcap,26.3,13.45,https://nsearchives.nseindia.com/corporate/xbrl/SHP_1606370_20012026082323_WEB.xml,2026-06-04T17:27:37+00:00
